filename,width,height,class,xmin,ymin,xmax,ymax
taco-jellybean (137).jpg,605,605,purple_jellybean,370,259,437,329
taco-jellybean (138).jpg,605,605,purple_jellybean,335,257,410,332
taco-jellybean (139).jpg,605,605,purple_jellybean,338,267,409,341
taco-jellybean (14).jpg,605,605,purple_jellybean,148,269,228,395
taco-jellybean (140).jpg,605,605,purple_jellybean,342,281,413,352
taco-jellybean (141).jpg,605,605,purple_jellybean,345,281,412,352
taco-jellybean (142).jpg,605,605,purple_jellybean,348,281,415,351
taco-jellybean (143).jpg,605,605,purple_jellybean,190,297,272,376
taco-jellybean (144).jpg,605,605,purple_jellybean,209,282,282,366
taco-jellybean (145).jpg,605,605,purple_jellybean,213,286,287,363
taco-jellybean (146).jpg,605,605,purple_jellybean,226,278,296,361
taco-jellybean (147).jpg,605,605,purple_jellybean,227,273,302,354
taco-jellybean (148).jpg,605,605,purple_jellybean,230,274,302,351
taco-jellybean (149).jpg,605,605,purple_jellybean,232,276,302,352
taco-jellybean (15).jpg,605,605,purple_jellybean,232,383,360,532
taco-jellybean (150).jpg,605,605,purple_jellybean,244,272,315,352
taco-jellybean (151).jpg,605,605,purple_jellybean,248,274,314,349
taco-jellybean (152).jpg,605,605,purple_jellybean,252,272,320,349
taco-jellybean (153).jpg,605,605,purple_jellybean,255,245,334,338
taco-jellybean (154).jpg,605,605,purple_jellybean,145,282,246,382
taco-jellybean (155).jpg,605,605,purple_jellybean,188,246,269,338
taco-jellybean (156).jpg,605,605,purple_jellybean,307,216,376,292
taco-jellybean (157).jpg,605,605,purple_jellybean,237,254,330,352
taco-jellybean (158).jpg,605,605,purple_jellybean,208,349,283,427
taco-jellybean (159).jpg,605,605,purple_jellybean,270,276,350,365
taco-jellybean (16).jpg,605,605,purple_jellybean,242,251,328,337
taco-jellybean (160).jpg,605,605,purple_jellybean,270,279,351,360
taco-jellybean (161).jpg,605,605,purple_jellybean,268,280,348,367
taco-jellybean (162).jpg,605,605,purple_jellybean,264,284,346,369
taco-jellybean (163).jpg,605,605,purple_jellybean,266,287,338,369
taco-jellybean (164).jpg,605,605,purple_jellybean,267,284,342,366
taco-jellybean (165).jpg,605,605,purple_jellybean,268,271,346,354
taco-jellybean (166).jpg,605,605,purple_jellybean,272,267,349,352
taco-jellybean (167).jpg,605,605,purple_jellybean,203,336,292,405
taco-jellybean (168).jpg,605,605,purple_jellybean,293,354,357,417
taco-jellybean (169).jpg,605,605,purple_jellybean,308,347,372,416
taco-jellybean (17).jpg,605,605,purple_jellybean,188,246,268,336
taco-jellybean (170).jpg,605,605,purple_jellybean,316,344,375,403
taco-jellybean (171).jpg,605,605,purple_jellybean,321,339,381,401
taco-jellybean (172).jpg,605,605,purple_jellybean,325,340,388,402
taco-jellybean (173).jpg,605,605,purple_jellybean,328,341,390,403
taco-jellybean (174).jpg,605,605,purple_jellybean,330,341,388,404
taco-jellybean (175).jpg,605,605,purple_jellybean,318,362,376,424
taco-jellybean (176).jpg,605,605,purple_jellybean,321,353,378,419
taco-jellybean (177).jpg,605,605,purple_jellybean,330,350,393,413
taco-jellybean (178).jpg,605,605,purple_jellybean,333,351,393,410
taco-jellybean (179).jpg,605,605,purple_jellybean,338,345,398,407
taco-jellybean (18).jpg,605,605,purple_jellybean,199,258,270,341
taco-jellybean (180).jpg,605,605,purple_jellybean,343,341,404,404
taco-jellybean (181).jpg,605,605,purple_jellybean,345,341,408,399
taco-jellybean (182).jpg,605,605,purple_jellybean,355,337,411,399
taco-jellybean (183).jpg,605,605,purple_jellybean,342,281,405,342
taco-jellybean (184).jpg,605,605,purple_jellybean,368,281,432,344
taco-jellybean (185).jpg,605,605,purple_jellybean,368,292,428,357
taco-jellybean (186).jpg,605,605,purple_jellybean,366,297,430,360
taco-jellybean (187).jpg,605,605,purple_jellybean,366,299,430,360
taco-jellybean (188).jpg,605,605,purple_jellybean,370,295,430,359
taco-jellybean (189).jpg,605,605,purple_jellybean,375,294,437,360
taco-jellybean (19).jpg,605,605,purple_jellybean,201,257,274,346
taco-jellybean (190).jpg,605,605,purple_jellybean,382,296,442,356
taco-jellybean (191).jpg,605,605,purple_jellybean,245,111,358,229
taco-jellybean (192).jpg,605,605,purple_jellybean,287,317,394,414
taco-jellybean (193).jpg,605,605,purple_jellybean,307,441,395,513
taco-jellybean (194).jpg,605,605,purple_jellybean,192,196,288,292
taco-jellybean (195).jpg,605,605,purple_jellybean,210,204,306,297
taco-jellybean (196).jpg,605,605,purple_jellybean,233,211,325,299
taco-jellybean (197).jpg,605,605,purple_jellybean,250,214,337,302
taco-jellybean (198).jpg,605,605,purple_jellybean,292,281,360,353
taco-jellybean (199).jpg,605,605,purple_jellybean,302,269,373,341
taco-jellybean (2).jpg,605,605,purple_jellybean,305,254,375,330
taco-jellybean (20).jpg,605,605,purple_jellybean,214,264,280,351
taco-jellybean (200).jpg,605,605,purple_jellybean,308,267,377,339
taco-jellybean (201).jpg,605,605,purple_jellybean,310,270,379,342
taco-jellybean (21).jpg,605,605,purple_jellybean,222,266,291,346
taco-jellybean (22).jpg,605,605,purple_jellybean,245,267,328,357
taco-jellybean (23).jpg,605,605,purple_jellybean,311,247,394,333
taco-jellybean (24).jpg,605,605,purple_jellybean,263,292,344,382
taco-jellybean (25).jpg,605,605,purple_jellybean,268,289,340,378
taco-jellybean (26).jpg,605,605,purple_jellybean,249,241,332,326
taco-jellybean (27).jpg,605,605,purple_jellybean,332,129,393,316
taco-jellybean (28).jpg,605,605,purple_jellybean,218,91,378,309
taco-jellybean (29).jpg,605,605,purple_jellybean,259,166,338,254
taco-jellybean (3).jpg,605,605,purple_jellybean,303,271,375,345
taco-jellybean (30).jpg,605,605,purple_jellybean,290,254,382,362
taco-jellybean (31).jpg,605,605,purple_jellybean,286,259,363,352
taco-jellybean (32).jpg,605,605,purple_jellybean,308,260,387,351
taco-jellybean (33).jpg,605,605,purple_jellybean,308,266,384,348
taco-jellybean (34).jpg,605,605,purple_jellybean,289,268,343,325
taco-jellybean (35).jpg,605,605,purple_jellybean,371,242,438,356
taco-jellybean (36).jpg,605,605,purple_jellybean,372,240,423,352
taco-jellybean (37).jpg,605,605,purple_jellybean,330,233,436,343
taco-jellybean (38).jpg,605,605,purple_jellybean,320,242,392,309
taco-jellybean (39).jpg,605,605,purple_jellybean,245,287,304,359
taco-jellybean (4).jpg,605,605,purple_jellybean,317,276,382,343
taco-jellybean (40).jpg,605,605,purple_jellybean,256,286,315,354
taco-jellybean (41).jpg,605,605,purple_jellybean,277,232,343,308
taco-jellybean (42).jpg,605,605,purple_jellybean,313,221,382,292
taco-jellybean (43).jpg,605,605,purple_jellybean,307,221,375,291
taco-jellybean (44).jpg,605,605,purple_jellybean,249,269,335,372
taco-jellybean (45).jpg,605,605,purple_jellybean,280,264,362,356
taco-jellybean (46).jpg,605,605,purple_jellybean,263,228,336,321
taco-jellybean (47).jpg,605,605,purple_jellybean,278,239,350,330
taco-jellybean (48).jpg,605,605,purple_jellybean,323,377,413,472
taco-jellybean (49).jpg,605,605,purple_jellybean,230,121,340,226
taco-jellybean (5).jpg,605,605,purple_jellybean,316,287,381,361
taco-jellybean (50).jpg,605,605,purple_jellybean,258,143,357,235
taco-jellybean (51).jpg,605,605,purple_jellybean,265,146,358,237
taco-jellybean (52).jpg,605,605,purple_jellybean,252,166,349,256
taco-jellybean (53).jpg,605,605,purple_jellybean,170,132,280,244
taco-jellybean (54).jpg,605,605,purple_jellybean,274,261,368,372
taco-jellybean (55).jpg,605,605,purple_jellybean,196,107,292,209
taco-jellybean (56).jpg,605,605,purple_jellybean,222,191,290,273
taco-jellybean (57).jpg,605,605,purple_jellybean,180,297,255,387
taco-jellybean (58).jpg,605,605,purple_jellybean,276,246,350,322
taco-jellybean (59).jpg,605,605,purple_jellybean,232,246,348,349
taco-jellybean (6).jpg,605,605,purple_jellybean,314,297,380,361
taco-jellybean (60).jpg,605,605,purple_jellybean,227,239,338,339
taco-jellybean (61).jpg,605,605,purple_jellybean,383,269,505,369
taco-jellybean (62).jpg,605,605,purple_jellybean,105,324,203,415
taco-jellybean (63).jpg,605,605,purple_jellybean,315,320,397,401
taco-jellybean (64).jpg,605,605,purple_jellybean,287,316,365,391
taco-jellybean (65).jpg,605,605,purple_jellybean,286,326,363,415
taco-jellybean (66).jpg,605,605,purple_jellybean,163,235,289,340
taco-jellybean (67).jpg,605,605,purple_jellybean,383,296,497,399
taco-jellybean (68).jpg,605,605,purple_jellybean,204,282,268,374
taco-jellybean (69).jpg,605,605,purple_jellybean,258,257,431,450
taco-jellybean (7).jpg,605,605,purple_jellybean,260,230,368,338
taco-jellybean (70).jpg,605,605,purple_jellybean,255,302,306,356
taco-jellybean (71).jpg,605,605,purple_jellybean,231,417,287,499
taco-jellybean (72).jpg,605,605,purple_jellybean,293,374,355,441
taco-jellybean (73).jpg,605,605,purple_jellybean,176,319,251,394
taco-jellybean (74).jpg,605,605,purple_jellybean,231,217,333,320
taco-jellybean (75).jpg,605,605,purple_jellybean,353,134,440,216
taco-jellybean (76).jpg,605,605,purple_jellybean,223,228,290,317
taco-jellybean (77).jpg,605,605,purple_jellybean,206,245,277,342
taco-jellybean (78).jpg,605,605,purple_jellybean,236,229,308,315
taco-jellybean (79).jpg,605,605,purple_jellybean,257,249,333,324
taco-jellybean (8).jpg,605,605,purple_jellybean,360,224,462,325
taco-jellybean (80).jpg,605,605,purple_jellybean,255,241,320,322
taco-jellybean (81).jpg,605,605,purple_jellybean,267,209,370,321
taco-jellybean (82).jpg,605,605,purple_jellybean,222,79,303,169
taco-jellybean (83).jpg,605,605,purple_jellybean,218,261,296,357
taco-jellybean (84).jpg,605,605,purple_jellybean,267,222,344,306
taco-jellybean (85).jpg,605,605,purple_jellybean,285,234,365,321
taco-jellybean (86).jpg,605,605,purple_jellybean,297,234,378,321
taco-jellybean (87).jpg,605,605,purple_jellybean,313,236,391,325
taco-jellybean (88).jpg,605,605,purple_jellybean,319,233,397,322
taco-jellybean (89).jpg,605,605,purple_jellybean,328,232,407,322
taco-jellybean (9).jpg,605,605,purple_jellybean,223,253,313,369
taco-jellybean (90).jpg,605,605,purple_jellybean,334,235,417,317
taco-jellybean (91).jpg,605,605,purple_jellybean,340,237,425,317
taco-jellybean (92).jpg,605,605,purple_jellybean,345,234,430,319
taco-jellybean (93).jpg,605,605,purple_jellybean,349,236,439,324
taco-jellybean (94).jpg,605,605,purple_jellybean,357,236,437,322
taco-jellybean (95).jpg,605,605,purple_jellybean,357,230,449,314
taco-jellybean (96).jpg,605,605,purple_jellybean,364,226,448,310
taco-jellybean (97).jpg,605,605,purple_jellybean,251,206,321,284
taco-jellybean (98).jpg,605,605,purple_jellybean,217,212,287,300
taco-jellybean (99).jpg,605,605,purple_jellybean,268,237,337,316
